,title,item_id,recommend_int
3923,Mirror's Edge™,17410,0
4043,Defense Grid: The Awakening,18500,1
4047,F.E.A.R. 2: Project Origin,16450,1
4048,Larva Mortus,11340,1
4050,Knights of Honor,25830,1
4052,Penumbra Overture,22180,1
4064,Unreal Tournament 3 Black,13210,1
4067,The Graveyard,27020,1
4071,Burnout Paradise: The Ultimate Box,24740,1
4092,Burnout Paradise: The Ultimate Box,24740,0
4107,Obulis,11330,1
4109,Two Worlds Epic Edition,1930,1
4112,X-Blades,7510,1
4121,Zeno Clash,22200,1
4131,King's Bounty: The Legend,25900,1
4133,Death Track®: Resurrection,7840,1
4134,Darkest Hour: Europe '44-'45,1280,1
4136,Prototype™,10150,1
4154,Call of Cthulhu®: Dark Corners of the Earth,22340,1
4155,The Elder Scrolls IV: Oblivion® Game of the Year Edition,22330,1
4164,The Elder Scrolls IV: Oblivion® Game of the Year Edition,22330,0
4173,The Elder Scrolls III: Morrowind® Game of the Year Edition,22320,1
4187,Nancy Drew®: Legend of the Crystal Skull,31860,1
4188,Nancy Drew®: The White Wolf of Icicle Creek,31930,1
4189,Street Fighter® IV,21660,1
4190,Street Fighter® IV,21660,0
4192,"Star Wars: Battlefront 2 (Classic, 2005)",6060,1
4210,"Star Wars: Battlefront 2 (Classic, 2005)",6060,0
4283,LEGO® Indiana Jones™: The Original Adventures,32330,1
4285,3D Ultra™ Minigolf Adventures,10140,1
4286,TimeShift™,10130,1
4288,Tropico Reloaded,33520,0
4290,Foreign Legion: Buckets of Blood,36000,1
4292,STAR WARS™ - Knights of the Old Republic™,32370,1
4293,STAR WARS™ - Knights of the Old Republic™,32370,0
4332,Osmos,29180,1
4336,Fallout 2: A Post Nuclear Role Playing Game,38410,1
4337,Fallout 2: A Post Nuclear Role Playing Game,38410,0
4345,Fallout Tactics: Brotherhood of Steel,38420,1
4346,"Time Gentlemen, Please! and Ben There, Dan That! Special Edition  Double Pack",37400,1
4348,Tom Clancy's Splinter Cell Chaos Theory®,13570,1
4351,Crash Time 2,11390,0
4357,Windosill,37600,1
4360,Joint Operations: Combined Arms Gold,32770,1
4361,Machinarium,40700,1
4375,Medal of Honor: Airborne,24840,1
4380,Need for Speed: Shift,24870,1
4381,Torchlight,41500,1
4387,Command &amp; Conquer: Red Alert 3 - Uprising,24800,1
4389,Secret Files: Tunguska,40330,1
4390,Hammerfight,41100,1
4392,Serious Sam HD: The First Encounter,41000,1
4398,Dragon Age: Origins,17450,1
4402,Call of Duty®: Modern Warfare® 2,10180,1
4412,Call of Duty®: Modern Warfare® 2,10180,0
4488,LEGO® Star Wars™ - The Complete Saga,32440,1
4494,Overlord™,11450,1
4500,Command &amp; Conquer 3: Tiberium Wars,24790,1
4503,Command &amp; Conquer 3: Kane's Wrath,24810,1
4506,Gratuitous Space Battles,41800,1
4512,Gratuitous Space Battles,41800,0
4527,Wings of Prey,45300,1
4529,Defence Alliance 2,35420,1
4531,Defence Alliance 2,35420,0
4532,STAR WARS™ - The Force Unleashed™ Ultimate Sith Edition,32430,1
4534,STAR WARS™ - The Force Unleashed™ Ultimate Sith Edition,32430,0
4540,Fallout 3: Game of the Year Edition,22370,1
4575,Fallout 3: Game of the Year Edition,22370,0
4600,Roogoo,38210,1
4603,Devil May Cry 4,45700,1
4615,"Pirates, Vikings, and Knights II",17570,1
4645,Serious Sam Classic: The First Encounter,41050,1
4647,Mount &amp; Blade: Warband,48700,1
4725,Mount &amp; Blade: Warband,48700,0
5011,Lead and Gold: Gangs of the Wild West,42120,0
5013,Grand Theft Auto: Episodes from Liberty City,12220,1
5021,Grand Theft Auto: Episodes from Liberty City,12220,0
5022,Dark Void™ Zero,45730,0
5024,Fortix,45400,1
5025,Beat Hazard,49600,1
5034,Beat Hazard,49600,0
5082,M.U.D. TV,43500,0
5084,The Misadventures of P.B. Winterbottom,40930,1
5088,Flight of the Icarus,49800,0
5092,Alpha Protocol™,34010,1
5108,SimCity™ 4 Deluxe Edition,24780,1
5111,SimCity™ 4 Deluxe Edition,24780,0
5118,Disciples III - Renaissance Steam Special Edition,33670,1
5120,Kane &amp; Lynch 2: Dog Days,28000,0
5122,Kane &amp; Lynch 2: Dog Days,28000,1
5125,The Guild II Renaissance,39680,0
5129,Mafia II,50130,1
5160,Mafia II,50130,0
5166,Burn Zombie Burn!,50510,1
5167,Ship Simulator Extremes,48800,1
5168,Ship Simulator Extremes,48800,0
5170,Worms Reloaded,22600,1
5180,Making History II: The War of the World,46770,1
5183,Victoria II,42960,1
5189,Victoria II,42960,0
5190,Cossacks: Back to War,4850,1
5191,Broken Sword: Director's Cut,57640,1
5193,Chime,62100,1
5195,VVVVVV,70300,1
5223,Amnesia: The Dark Descent,57300,1
5340,Recettear: An Item Shop's Tale,70400,1
5360,Hacker Evolution,70100,1
5362,Faerie Solitaire,38600,0
5363,Faerie Solitaire,38600,1
5374,Sid Meier's Civilization® V,8930,1
5442,Sid Meier's Civilization® V,8930,0
5682,Serious Sam Classic: The Second Encounter,41060,1
5684,Blade Kitten,9940,1
5692,Alien Breed 2: Assault,22650,1
5693,Darksiders™,50620,1
5696,Darksiders™,50620,0
5707,The Kings' Crusade,42920,0
5708,Medal of Honor™,47790,1
5709,Medal of Honor™,47790,0
5723,Fallout: New Vegas,22380,1
5732,Fallout: New Vegas,22380,0
6065,DeathSpank,18040,1
6068,Shank,6120,1
6070,The Ball,35460,0
6076,STAR WARS™: The Force Unleashed™ II,32500,0
6077,STAR WARS™: The Force Unleashed™ II,32500,1
6083,BIT.TRIP BEAT,63700,1
6086,Pound of Ground,33980,0
6087,Fish Fillets 2,33950,0
6089,Call of Duty®: Black Ops,42700,1
6096,Call of Duty®: Black Ops,42700,0
6119,Oddworld: Stranger's Wrath HD,15750,1
6122,Oddworld: Stranger's Wrath HD,15750,0
6131,Back to the Future: The Game,31290,1
6138,Grand Theft Auto III,12100,1
6145,Grand Theft Auto: San Andreas,12120,1
6149,Grand Theft Auto: San Andreas,12120,0
6175,Grand Theft Auto: Vice City,12110,1
6190,A.R.E.S.: Extinction Agenda,92300,1
6194,Dead Space™ 2,47780,1
6198,Monday Night Combat,63200,1
6206,The Sims™ 3,47890,1
6211,The Sims™ 3,47890,0
6228,Myst: Masterpiece Edition,63660,0
6230,Two Worlds II HD,7520,0
6231,Two Worlds II HD,7520,1
6234,Test Drive Unlimited 2,9930,1
6238,Test Drive Unlimited 2,9930,0
6241,RISK™: Factions,47800,1
6242,BIT.TRIP RUNNER,63710,1
6245,BIT.TRIP RUNNER,63710,0
6272,Homefront,55100,1
6276,RIFT,39120,1
6339,Dinner Date,94000,1
6340,Dinner Date,94000,0
6355,Shadow Harvest: Phantom Ops,92700,0
6356,Anomaly: Warzone Earth,91200,1
6357,Anomaly: Warzone Earth,91200,0
6362,Darkest Hour: A Hearts of Iron Game,73170,1
6365,Dino D-Day,70000,1
6375,Dino D-Day,70000,0
6473,Portal 2,620,1
6510,Portal 2,620,0
7131,Sanctum,91600,1
7167,Majesty 2 Collection,73020,1
7169,Frozen Synapse,98200,1
7179,Hunted: The Demon’s Forge™,22450,1
7181,Dungeon Siege III,39160,1
7185,Duke Nukem Forever,57900,1
7189,Duke Nukem Forever,57900,0
7195,A.V.A. Alliance of Valiant Arms™,102700,0
7199,A.V.A. Alliance of Valiant Arms™,102700,1
7205,Champions Online,9880,1
7208,Spiral Knights,99900,1
7229,Spiral Knights,99900,0
7922,Magic: The Gathering - Duels of the Planeswalkers 2012,49470,1
7923,Solar 2,97000,1
7935,F.E.A.R. 3,21100,0
7937,F.E.A.R. 3,21100,1
7945,Dungeons and Dragons: Daggerdale,99100,0
7947,Puzzle Agent 2,94590,1
7949,Lucid,61100,1
7951,ARMA: Cold War Assault,65790,1
7953,ARMA: Cold War Assault,65790,0
7990,Tropico 4,57690,1
8034,EDGE,38740,1
8042,Space Pirates and Zombies,107200,1
8046,Space Pirates and Zombies,107200,0
8062,Puzzle Pirates,99910,1
8064,Puzzle Pirates,99910,0
8077,"Warhammer 40,000: Space Marine",55150,1
8082,"Warhammer 40,000: Space Marine",55150,0
8086,Men of War: Vietnam,63940,0
8087,Hard Reset Extended Edition,98400,1
8103,Rock of Ages,22230,1
8119,Red Orchestra 2: Heroes of Stalingrad with Rising Storm,35450,1
8142,Red Orchestra 2: Heroes of Stalingrad with Rising Storm,35450,0
8389,Bunch of Heroes,111400,1
8391,Might &amp; Magic: Heroes VI,48220,0
8392,Might &amp; Magic: Heroes VI,48220,1
8395,Supreme Commander: Forged Alliance,9420,1
8406,The Binding of Isaac,113200,1
8412,The Binding of Isaac,113200,0
9102,Off-Road Drive,200230,0
9103,Off-Road Drive,200230,1
9106,Supreme Commander,9350,1
9110,Dead Rising 2: Off the Record,45770,1
9113,Dead Rising 2: Off the Record,45770,0
9120,Costume Quest,115100,1
9129,Serious Sam: The Random Encounter,201480,0
9130,Serious Sam: The Random Encounter,201480,1
9135,Before the Echo,200910,1
9139,Saints Row: The Third Initiation Station,55370,1
9140,Sonic Generations Collection,71340,1
9149,L.A. Noire,110800,1
9161,L.A. Noire,110800,0
9175,Fractal: Make Blooms Not War,61310,1
9177,Real Warfare 1242,46350,0
9178,Galactic Civilizations® II: Ultimate Edition,202200,1
9181,Galactic Civilizations® II: Ultimate Edition,202200,0
9182,APB Reloaded,113400,1
9183,APB Reloaded,113400,0
9434,Flatout 3: Chaos &amp; Destruction,201510,1
9435,Flatout 3: Chaos &amp; Destruction,201510,0
9436,Earth Defense Force: Insect Armageddon,23530,1
9437,X3: Albion Prelude,201310,1
9439,Trine 2: Complete Story,35720,1
9502,Fable - The Lost Chapters,204030,1
9513,Fable - The Lost Chapters,204030,0
9538,Serious Sam 2,204340,0
9539,Serious Sam 2,204340,1
9556,Star Trek Online,9900,1
9558,Star Trek Online,9900,0
9622,Jagged Alliance - Back in Action,57740,1
9623,Jagged Alliance - Back in Action,57740,0
9628,PixelJunk™ Eden,105800,1
9631,Titan Attacks!,203210,1
9632,Titan Attacks!,203210,0
9640,Crusader Kings II,203770,1
9663,Crusader Kings II,203770,0
9802,Alan Wake,108710,1
9846,Postal III,10220,1
9847,Postal III,10220,0
9853,Realm of the Mad God,200210,1
9867,Realm of the Mad God,200210,0
10818,Rayman® Origins,207490,1
10822,Vessel,108500,1
10825,iBomber Defense Pacific,206690,1
10828,Wizorb,207420,1
10831,Jane's Advanced Strike Fighters,207790,1
10832,Cubemen,207250,1
10842,Waveform,204180,1
10844,Waveform,204180,0
10857,Warp,102850,1
10860,3SwitcheD,206610,0
10862,Ridge Racer™ Unbounded,202310,1
10864,"Hack, Slash, Loot",207430,0
10867,Risen 2: Dark Waters,40390,1
10869,Risen 2: Dark Waters,40390,0
10870,Binary Domain,203750,1
10873,Binary Domain,203750,0
10874,Analogue: A Hate Story,209370,1
10879,Toy Soldiers,98300,1
10883,Resident Evil: Operation Raccoon City,209100,0
10888,Resident Evil: Operation Raccoon City,209100,1
10889,Ticket to Ride,108200,1
10892,Ys Origin,207350,1
10901,Max Payne 3,204100,1
10903,Max Payne 3,204100,0
10940,The Lord of the Rings Online™,212500,1
10988,Splice,209790,1
10990,Indie Game: The Movie,207080,1
10995,Krater,42170,1
11000,LEGO® Batman 2 DC Super Heroes™,213330,1
11003,LEGO® Batman 2 DC Super Heroes™,213330,0
11008,Vindictus,212160,1
11009,Vindictus,212160,0
11118,The Dark Eye: Chains of Satinav,203830,1
11122,Tom Clancy's Ghost Recon: Future Soldier™,212630,0
11123,Tom Clancy's Ghost Recon: Future Soldier™,212630,1
11125,Quantum Conundrum,200010,1
11129,Tribes: Ascend,17080,1
11131,Tribes: Ascend,17080,0
11219,eXceed 3rd - Jade Penetrate Black Package,207400,1
11220,Hero Academy,209270,0
11221,Hero Academy,209270,1
11228,Galaxy on Fire 2™ Full HD,212010,0
11232,Counter-Strike: Global Offensive,730,1
11250,Counter-Strike: Global Offensive,730,0
14753,STAR WARS™ Knights of the Old Republic™ II - The Sith Lords™,208580,1
14765,Closure,72000,1
14768,Batman: Arkham City - Game of the Year Edition,200260,1
14902,To the Moon,206440,1
15064,Intrusion 2,214970,1
15066,Intrusion 2,214970,0
15072,Critter Crunch,61730,1
15075,Jet Set Radio,205950,1
15078,Jet Set Radio,205950,0
15082,The Testament of Sherlock Holmes,205650,1
15083,Carrier Command: Gaea Mission,65740,1
15085,Cortex Command,209670,1
15089,Cortex Command,209670,0
15118,BIT.TRIP CORE,205060,1
15120,Rocketbirds: Hardboiled Chicken,215510,1
15122,Rocketbirds: Hardboiled Chicken,215510,0
15128,Doom 3: BFG Edition,208200,1
15132,Edna &amp; Harvey: Harvey's New Eyes,219910,1
15136,Primal Carnage,215470,0
15138,Primal Carnage,215470,1
15188,Hotline Miami,219150,1
15460,Guns of Icarus Online,209080,0
15461,Guns of Icarus Online,209080,1
15768,Condemned: Criminal Origins,4720,1
15769,POSTAL 2,223470,0
15770,POSTAL 2,223470,1
16018,Chaos on Deponia,220740,1
16020,Puddle,222140,1
16023,Call of Duty®: Black Ops II,202970,1
16026,Call of Duty®: Black Ops II,202970,0
16131,Miasmata,223510,1
16134,Mabinogi,212200,1
16135,Mabinogi,212200,0
16190,Iron Sky: Invasion,224900,1
16193,A New Beginning - Final Cut,105000,0
16195,Sacred 2 Gold,225640,1
16196,Primal Fears,211280,0
16198,Fieldrunners 2,215710,1
16201,Strike Suit Zero,209540,1
16202,Strike Suit Zero,209540,0
16216,The Cave,221810,1
16218,Ace Combat Assault Horizon - Enhanced Edition,228400,1
16222,DmC: Devil May Cry,220440,1
16252,Cities XL Platinum,231140,1
16255,Super House of Dead Ninjas,224820,1
16271,Monster Loves You!,226740,1
16296,Retro/Grade,222660,1
16298,Trials Evolution: Gold Edition,220160,1
16299,Trials Evolution: Gold Edition,220160,0
16318,POSTAL,232770,1
16319,POSTAL,232770,0
16324,Resident Evil 6 / Biohazard 6,221040,1
16352,Evoland,233470,1
16353,Evoland,233470,0
16388,Another World – 20th Anniversary Edition,233550,1
16390,Lords of Football,230650,0
16394,Sang-Froid - Tales of Werewolves,227220,1
16395,Sang-Froid - Tales of Werewolves,227220,0
16414,Cubemen 2,228440,1
16416,Papo &amp; Yo,227080,1
16417,Papo &amp; Yo,227080,0
16422,Surgeon Simulator,233720,1
16429,Surgeon Simulator,233720,0
16680,God Mode,227480,1
16687,Eador. Masters of the Broken World,232050,1
16688,Eador. Masters of the Broken World,232050,0
16691,Mars: War Logs,232750,0
16692,Mars: War Logs,232750,1
16695,Poker Night 2,234710,1
16700,Poker Night 2,234710,0
16761,StarDrive,220660,1
16762,StarDrive,220660,0
16765,Sanctum 2,210770,1
16776,Sanctum 2,210770,0
16867,Reus,222730,1
16903,Bad Bots,235070,0
16905,Resident Evil Revelations / Biohazard Revelations,222480,0
16906,Resident Evil Revelations / Biohazard Revelations,222480,1
16911,Remember Me,228300,1
16931,Agricultural Simulator 2013 - Steam Edition,236790,0
16933,Prime World: Defenders,235360,1
16937,Knights of Pen and Paper +1 Edition,231740,1
16947,Company of Heroes 2,231430,1
16955,Company of Heroes 2,231430,0
17018,Mortal Kombat Komplete Edition,237110,1
17022,Mortal Kombat Komplete Edition,237110,0
17042,Bleed,239800,1
17060,Soldier Front 2,239660,1
17061,Soldier Front 2,239660,0
17096,DARK,225360,0
17098,TrackMania² Valley,243360,1
17100,Shadow Warrior Classic Redux,225160,1
17101,FINAL FANTASY VII,39140,1
17120,Toki Tori 2+,201420,1
17126,BIT.TRIP FATE,205080,0
17128,R.I.P.D.: The Game,237590,0
17129,The Raven - Legacy of a Master Thief,233370,1
17130,Ittle Dew,241320,1
17131,Ittle Dew,241320,0
17136,Shadowrun Returns,234650,1
17160,CastleStorm,241410,1
17163,Skulls of the Shogun,228960,1
17167,Castlevania: Lords of Shadow – Ultimate Edition,234080,1
17169,Rise of the Triad,217140,1
17173,Cloudberry Kingdom™,210870,1
17174,Divinity: Dragon Commander,243950,0
17177,Saints Row IV: Inauguration Station,242590,1
17179,Beatbuddy: Tale of the Guardians,231040,1
17180,Beatbuddy: Tale of the Guardians,231040,0
17187,DuckTales: Remastered,237630,1
17193,Worms Clan Wars,233840,1
17195,Worms Clan Wars,233840,0
17196,Space Hulk,242570,1
17202,Electronic Super Joy,244870,1
17236,LOST PLANET® 3,226720,1
17244,PixelJunk™ Monsters Ultimate,243780,1
17246,Assault Android Cactus,250110,1
17252,Shelter,244710,1
17264,America's Army: Proving Grounds,203290,1
17267,America's Army: Proving Grounds,203290,0
17294,Game Dev Tycoon,239820,1
17646,Guardians of Middle-earth,111900,1
17647,Guardians of Middle-earth,111900,0
17650,Delver,249630,1
17653,Delver,249630,0
17675,Outlast,238320,1
17680,Outlast,238320,0
17903,MirrorMoon EP,231310,1
17915,Castle of Illusion,227600,1
17917,Ironclad Tactics,226960,1
17929,Cognition: An Erica Reed Thriller,242780,0
17931,Foul Play,244810,1
17935,Omegalodon,248350,1
17941,Angry Video Game Nerd Adventures,237740,1
17942,Angry Video Game Nerd Adventures,237740,0
17962,Marlow Briggs and the Mask of Death,249680,1
17966,Portal 2 Sixense Perceptual Pack,247120,1
17968,Portal 2 Sixense Perceptual Pack,247120,0
17972,Urban Trial Freestyle,243450,0
17973,Urban Trial Freestyle,243450,1
17992,PAC-MAN™ Championship Edition DX+,236450,1
18000,Scribblenauts Unmasked: A DC Comics Adventure,249870,1
18005,Scribblenauts Unmasked: A DC Comics Adventure,249870,0
18036,Alien Rage - Unlimited,217920,0
18038,Alien Rage - Unlimited,217920,1
18039,Escape Goat,251370,1
18041,Farming Simulator 2013 Titanium Edition,220260,1
18065,SNOW,244930,1
18077,SNOW,244930,0
18225,The Stanley Parable,221910,1
18252,The Stanley Parable,221910,0
18401,Soundodger+,247140,1
18405,The Wolf Among Us,250320,1
18451,The Wolf Among Us,250320,0
18467,Iesabel,248710,0
18470,Eleusis,251310,1
18472,Bridge Constructor,250460,1
18481,140,242820,1
18493,Anachronox,242940,1
18494,"I Have No Mouth, and I Must Scream",245390,1
18499,Super Amazing Wagon Adventure,250500,1
18544,Goodbye Deponia,241910,1
18546,Deus Ex: Human Revolution - Director's Cut,238010,1
18567,Deus Ex: Human Revolution - Director's Cut,238010,0
18598,Contagion,238430,0
18599,Contagion,238430,1
18739,Slender: The Arrival,252330,1
18748,Slender: The Arrival,252330,0
18769,Master Reboot,251850,0
18772,Alone in the Dark,259170,0
18774,The Typing of The Dead: Overkill,246580,1
18778,Deadly Premonition: The Director's Cut,247660,1
18780,State of Decay,241540,1
18791,State of Decay,241540,0
18993,King Arthur's Gold,219830,1
19049,YOU DON'T KNOW JACK HEADRUSH,260060,0
19051,Desktop Dungeons,226620,1
19066,Adventure Park,256050,0
19068,Risk of Rain,248820,1
19072,Risk of Rain,248820,0
19407,Long Live The Queen,251990,1
19455,Project Zomboid,108600,1
19627,Poöf,243280,1
19630,Vox,252770,0
19640,Bloody Trapland,257750,1
19647,Bloody Trapland,257750,0
19684,World Basketball Tycoon,260510,0
19685,Kingdoms Rise,248630,1
19689,Kingdoms Rise,248630,0
19713,Ring Runner: Flight of the Sages,258010,1
19716,Assassin’s Creed® IV Black Flag™,242050,1
19724,Assassin’s Creed® IV Black Flag™,242050,0
19804,Gimbal,252070,1
19808,Montague's Mount,258950,1
19810,Axis Game Factory's AGFPRO v3,253370,1
19815,Eryi's Action,261700,1
19823,9.03m,263100,1
19826,The Shivah,252370,1
19828,Bus-Simulator 2012,253770,0
19829,Finding Teddy,259600,1
19833,Maia,252250,1
19837,Broken Sword 5 - the Serpent's Curse,262940,1
19838,Savant - Ascent,259530,1
19850,Dominions 4: Thrones of Ascension,259060,1
19852,Neverwinter,109600,1
19861,Neverwinter,109600,0
20047,Clickteam Fusion 2.5,248170,1
20055,Particulars,259470,0
20056,FATE,246840,1
20059,Not The Robots,257120,1
20062,Tales of Maj'Eyal,259680,0
20063,Tales of Maj'Eyal,259680,1
20074,Airport Simulator 2014,267600,1
20078,Airport Simulator 2014,267600,0
20081,Woodcutter Simulator 2013,267610,0
20086,Woodcutter Simulator 2013,267610,1
20087,CONSORTIUM,264240,1
20095,Nidhogg,94400,1
20097,Nidhogg,94400,0
20164,Assassin’s Creed® Liberation HD,260210,1
20168,Insurgency,222880,1
20178,Insurgency,222880,0
20765,Paper Sorcerer,263560,1
20768,Hero Siege,269210,0
20769,Hero Siege,269210,1
20888,Our Darker Purpose,262790,1
20889,Our Darker Purpose,262790,0
20894,The Castle Doctrine,249570,1
20895,The Castle Doctrine,249570,0
20900,Saturday Morning RPG,263320,1
20906,Serena,272060,1
20916,Octodad: Dadliest Catch,224480,1
21012,Agarest: Generations of War,237890,1
21018,BlazBlue: Calamity Trigger,263300,1
21025,NaissanceE,265690,1
21027,The Plan,250600,1
21153,METAL SLUG 3,250180,1
21169,Banished,242920,1
21189,Banished,242920,0
21331,Hexcells,265890,1
21343,Hexcells Plus,271900,1
21346,Scania Truck Driving Simulator,258760,1
21348,The Yawhg,269030,1
21350,The Yawhg,269030,0
21354,Epic Battle Fantasy 4,265610,1
21372,Ultionus: A Tale of Petty Revenge,279160,1
21374,Assassin's Creed Freedom Cry,277590,1
21380,Castlevania: Lords of Shadow 2,239250,1
21386,Talisman: Digital Edition,247000,1
21387,Talisman: Digital Edition,247000,0
21431,TowerFall Ascension,251470,0
21432,TowerFall Ascension,251470,1
21439,LYNE,266010,1
21471,Alpha Kimori™ 1,265870,0
21476,Deus Ex: The Fall,258180,0
21477,Deus Ex: The Fall,258180,1
21488,LUFTRAUSERS,233150,1
21512,Influent,274980,1
21521,Heroine's Quest: The Herald of Ragnarok,283880,1
21529,Gardens Inc. – From Rakes to Riches,279420,1
21532,Mercenary Kings,218820,1
21533,Mercenary Kings,218820,0
21548,Calibre 10 Racing,266370,0
21551,Marine Sharpshooter II: Jungle Warfare,283370,0
21552,Freight Tycoon Inc.,289340,0
21553,Actual Sunlight,288040,1
21555,Marauder,289600,1
21557,Half Minute Hero: The Second Coming,240970,1
21559,Half Minute Hero: The Second Coming,240970,0
21566,Halo: Spartan Assault,277430,1
21572,Halo: Spartan Assault,277430,0
21583,"House of 1,000 Doors: Family Secrets Collector's Edition",286500,1
21587,Volt,290280,1
21589,Putt-Putt® Joins the Parade,283920,1
21591,Space Farmers,271570,1
21595,Pixel Puzzles: Japan,284950,0
21596,Pixel Puzzles: Japan,284950,1
21601,Pajama Sam: No Need to Hide When It's Dark Outside,283960,1
21605,Freddi Fish and The Case of the Missing Kelp Seeds,283940,1
21609,Agarest: Generations of War Zero,260130,1
21612,Villagers and Heroes,263540,1
21615,Villagers and Heroes,263540,0
21636,Circuits,282760,1
21638,Vitrum,291270,0
21641,RC Cars,289460,1
21643,FarSky,286340,1
21646,FarSky,286340,0
21667,Rabbit Hole 3D: Steam Edition,283660,0
21668,Rabbit Hole 3D: Steam Edition,283660,1
21673,Realms of the Haunting,292390,1
21674,Rogue Shooter: The FPS Roguelike,295770,1
21675,Croixleur Sigma,250640,1
21677,BloodRayne Betrayal,281220,0
21678,Serious Sam Classics: Revolution,227780,1
21684,You Have to Win the Game,286100,1
21699,You Have to Win the Game,286100,0
21716,Blade Symphony,225600,1
21719,Blade Symphony,225600,0
21736,Fistful of Frags,265630,1
21777,Fistful of Frags,265630,0
22087,Lili: Child of Geos - Complete Edition,266490,1
22090,Chronology,269330,1
22092,Coma: Mortuary,293320,1
22096,The Last Tinker™: City of Colors,260160,1
22102,Organic Panic,282740,1
22106,DreadOut,269790,1
22108,BattleBlock Theater®,238460,1
22127,BattleBlock Theater®,238460,0
22652,Men of War: Assault Squad 2,244450,1
22657,Men of War: Assault Squad 2,244450,0
22691,Freddi Fish 3: The Case of the Stolen Conch Shell,294540,1
22693,Frederic: Resurrection of Music,301190,0
22696,Rage Runner,279520,1
22701,Flower Shop: Summer In Fairbrook,290990,1
22704,Toribash,248570,1
22714,Toribash,248570,0
22992,White Noise Online,293860,1
22998,Killer is Dead - Nightmare Edition,261110,1
23000,Killer is Dead - Nightmare Edition,261110,0
23003,Tropico 5,245620,1
23010,Tropico 5,245620,0
23051,Showtime!,285050,1
23055,Spirited Heart Deluxe,293920,1
23059,The Forest,242760,1
23078,The Forest,242760,0
23969,The Fall,290770,0
23970,The Fall,290770,1
23984,EPOCH,270510,1
23986,Enigmatis 2: The Mists of Ravenwood,284770,0
23988,Richard &amp; Alice,279260,1
23990,Nether: Resurrected,247730,0
23991,Nether: Resurrected,247730,1
24325,Lifeless Planet Premier Edition,261530,1
